name,url,star,comment,avg_price,taste,environment,services,recommend
宴羊集市火锅,http://www.dianping.com/shop/66591621,五星商户,4398,134,9.1,8.8,9,"热气羊肉,八小时羊骨汤锅,羊肉串"
海底捞火锅(打浦路店),http://www.dianping.com/shop/4017154,五星商户,12277,137,9,9,9.2,"招牌虾滑,捞派澳洲肥牛,翡翠墨鱼滑"
海底捞火锅(控江路店),http://www.dianping.com/shop/110255103,五星商户,148,132,9.1,9.2,9.2,"鸡蛋虾滑油面筋,番茄牛肉汤,捞派毛肚"
曹疯子老火锅,http://www.dianping.com/shop/107780691,四星商户,15,97,7.9,8.2,7.8,"曹疯子鲜切牛肉,曹疯子小菌肝,曹疯子秘制酸梅汤"
汤呈逸品(新天地店),http://www.dianping.com/shop/99216127,五星商户,702,420,9.1,9,9.1,"逸品花胶鱼翅辽参土鸡锅,斑节虾,逸品牛肉船"
上房火鍋(新天地店),http://www.dianping.com/shop/98597037,五星商户,666,660,9.1,9.1,9.1,"花胶鸡锅底,椒盐富贵虾,上房极上禾牛"
上房火鍋(外滩店),http://www.dianping.com/shop/122012118,五星商户,245,710,9.3,9.1,9.1,"鸡煲花胶翅汤底,上房三色牛肉船,大连鲜鲍"
海底捞火锅(北京西路店),http://www.dianping.com/shop/4017151,五星商户,9855,141,8.9,9,9.2,"功夫面,蟹肉棒,越煮越嫩羊肉"
欲之宴·香焰黑椒牛肉锅,http://www.dianping.com/shop/101226788,五星商户,225,183,8.9,8.9,9,"十八香经典龙虾,烤生蚝,醉迷红楼VIP特大龙虾"
上房火鍋(建業里店),http://www.dianping.com/shop/92399610,五星商户,1502,687,9.1,9,9.1,"花胶鸡锅底,上房三色牛肉船,椒鹽粟米"
筑间幸福锅物(长寿路店),http://www.dianping.com/shop/102145559,五星商户,721,137,9.1,9,9.1,"鲜菇牛奶锅,明治冰激凌,芝士牛奶锅"
坎爷火锅(来福士店),http://www.dianping.com/shop/124758589,五星商户,121,125,8.9,9.1,9.2,"火锅牛排,秘制毛肚,鸭血"
辣府肉铺圌·牛排火锅,http://www.dianping.com/shop/121558333,准五星商户,848,123,8.8,9,8.7,"火锅牛排鸳鸯锅,嫩牛肉,冰粉"
蜀今朝火锅,http://www.dianping.com/shop/124481055,四星商户,336,109,8.2,8,8,"芝士虾滑,鲜毛肚,雪花牛肉"
最伙Hot Pot(嘉廷酒店店),http://www.dianping.com/shop/114445999,五星商户,663,150,9.3,9.4,9.4,"鸳鸯锅底,虾滑,雪花级别牛小排"
捞王锅物料理(五角场店),http://www.dianping.com/shop/96314327,五星商户,1685,144,9.1,9,9,"胡椒猪肚锅,爆浆手打虾丸,煲仔饭"
囍蔻港式点心火锅,http://www.dianping.com/shop/108109598,五星商户,951,463,9,9.1,9.1,"原味浓汁花胶煲老鸡锅底,冰火咕咾肉,斑节虾王"
捞王锅物料理(虹桥天地店),http://www.dianping.com/shop/58260604,五星商户,4126,145,9.1,9.1,9,"胡椒猪肚鸡中煲,爆浆手打虾丸,煲仔饭"
百味记小郡肝·林蛙鱼火锅串串香(松江旗舰店),http://www.dianping.com/shop/96718933,四星商户,481,93,8.1,7.4,7.5,"招牌小郡肝(土鸭郡肝),麻辣牛肉,香菜牛肉"
上上谦串串香火锅(虹口龙之梦店),http://www.dianping.com/shop/17679013,五星商户,35468,124,9,8.8,9,"串串香嫩牛肉,自制芝士虾滑,串串虾"
那都不是锅港式打边炉(中山公园店),http://www.dianping.com/shop/126020613,准五星商户,772,122,8.8,8.5,8.7,"鲍鱼,竹蛏王,花胶鸡"
潮界(绿地缤纷城店),http://www.dianping.com/shop/77453012,五星商户,3297,103,9.1,8.7,9.2,"手打牛肉丸,吊龙,潮界湿炒牛肉河粉"
臙脂火锅(新天地店),http://www.dianping.com/shop/103668699,五星商户,362,391,8.9,9.1,9.1,"臭豆腐,澳洲和牛M5,牛黄喉"
蜀大侠火锅(松江店),http://www.dianping.com/shop/120105247,准五星商户,748,145,9,9,8.9,"霸王牛(羊)肉圈 抖音网红同款,会生气的养乐多,大侠酥肉"
海底捞火锅(大华店),http://www.dianping.com/shop/81001855,五星商户,2600,132,9.2,9.2,9.3,"招牌虾滑,番茄锅,鸭血"
熊猫老灶火锅(北外滩·白玉兰广场店),http://www.dianping.com/shop/110527534,准五星商户,555,169,8.8,9,8.5,"熊猫三宝,和牛拼盘,熊猫鸳鸯锅"
蜀大侠火锅(城市新汇广场店),http://www.dianping.com/shop/69949884,五星商户,4573,158,9.1,9,8.9,"花千骨,冰川鹅肠,一米牛肉(羊肉)"
奇门涮肉(南京西路店),http://www.dianping.com/shop/96138357,准五星商户,1586,174,8.8,9,8.9,"高钙羊肉,爆肚,鲜椒锅"
傲徕轩·海鲜火锅(丰尚国际店),http://www.dianping.com/shop/101225394,五星商户,144,190,9.4,9.1,9.2,"基围虾,雪花牛肉,昆布龙骨汤"
高兴一锅·石斑鱼海鲜火锅(中兴店),http://www.dianping.com/shop/19348382,五星商户,1839,172,9.2,8.4,9,"深海石斑鱼,大竹蛏,石斑鱼丸"
牛new寿喜烧(南京东路步行街店),http://www.dianping.com/shop/70444901,五星商户,6637,141,9,9,8.9,"寿喜锅,牛肩肉,特选肥牛"
